 HS5208;ENT-AB-130; RICH PRODUCTS; 225CPM;4.125;1.5;4.125
 HS5211;ENT-131; HARRY'S FRESH FOODS; 130CPM;6.531;2.25;8.563
 HS5211;ENT-131; HARRY'S FRESH FOODS; 130CPM;6.531;1.563;8.563
 HS5211;ENT-131; HARRY'S FRESH FOODS; 130CPM;6.687;1.656;8.5
 HS5220;ENT-132; COOPER FARMS; NaN;0.0;0.0;0.0
 HS5220;ENT-132; COOPER FARMS; NaN;0.0;0.0;0.0
 HS5220;ENT-132; COOPER FARMS; NaN;9.0;0.0;0.0
 HS5220;ENT-132; COOPER FARMS; NaN;10.0;0.0;0.0
 HS5220;ENT-132; COOPER FARMS; NaN;0.0;0.0;0.0
 HS5220;ENT-132; COOPER FARMS; NaN;5.0;5.0;0.0
 HS5220;ENT-132; COOPER FARMS; NaN;0.0;0.0;0.0
 HS5222;ENT-133; REQUEST FOODS; 250CPM;0.0;0.0;0.0
 HS5223;ENT-AB-134; SARGENTO FOODS; 240CPM;0.0;0.0;0.0
 HS5223;ENT-AB-134; SARGENTO FOODS; 240CPM;0.0;0.0;0.0
 HS5223;ENT-AB-135; SARGENTO FOODS; 240CPM;0.0;0.0;0.0
 HS5223;ENT-AB-135; SARGENTO FOODS; 240CPM;0.0;0.0;0.0
 HS5230;ENT-136; TABLE TALK; 240CPM;0.0;0.0;0.0
 HS5230;ENT-136; TABLE TALK; 240CPM;0.0;0.0;0.0
 HS5235;ENT-137; TYSON(HILLSHIRE); 240CPM;6.375;0.0;0.0
 HS5239;ENT-138; BOSCH PACB; 97 to 269 CPM;69.0;69.0;269.0
 HS5239;ENT-138; BOSCH PACB; 97 to 269 CPM;69.0;69.0;195.0
 HS5239;ENT-138; BOSCH PACB; 97 to 269 CPM;69.0;69.0;152.0
 HS5245;ENT-108; ABIMAR FOODS; NaN;4.313;2.188;9.375
 HS5245;ENT-109; ABIMAR FOODS; NaN;4.313;2.188;9.375
 HS5245;ENT-110; ABIMAR FOODS; NaN;4.313;2.188;9.375
